,ids,names,rating,review_count,price,transactions,is_closed,type_food,type_food_alias,latitude,longitude,country,state,city,zip_code,transactions_
16,tsJ5KxruWUDFBdfXYGvomQ,Ono Hawaiian BBQ,2.5,54,$,"['delivery', 'pickup']",False,"Hawaiian, Specialty Food","hawaiian, gourmet",33.9746852964163,-118.233785033226,US,CA,Walnut Park,90255,"['delivery', 'pickup']"
17,_EpkYp1nYMuH8V0iwG8JTw,Bill's Drive In,4.5,44,$,['delivery'],False,Burgers,burgers,33.9745551,-118.2437984,US,CA,Los Angeles,90001,['delivery']
18,_vVQjfThhJUZz7wdh_GOyw,Rajas con Crema,5.0,173,$$,"['restaurant_reservation', 'delivery', 'pickup']",False,Mexican,mexican,33.988394,-118.199977,US,CA,Maywood,90270,"['restaurant_reservation', 'delivery', 'pickup']"
19,8jli1kBhKRw3SluKvwyr8g,The Original Snack Shack,4.5,45,$,['delivery'],False,Burgers,burgers,33.991413,-118.256095,US,CA,Los Angeles,90011,['delivery']
20,GdK64PuX-0xX4W1c8JdFlg,New Time Noodles,4.5,27,$,[],False,"Noodles, Korean","noodles, korean",33.983365,-118.224373,US,CA,Huntington Park,90255,
21,BZJj5TaIKe-4UXYOz89Lbw,Carlita's Antojitos,5.0,1,,[],False,Peruvian,peruvian,34.009132,-118.219519,US,CA,Vernon,90058,
22,spFCDmXLUehiQALiXH1NqQ,Little Trattoria 25,4.5,185,$$,['delivery'],False,Italian,italian,33.9935221334472,-118.225381050213,US,CA,Huntington Park,90255,['delivery']
23,wFBv3M7WiaVhV7jyQw2_VQ,Dirty South Soulfood,4.0,185,$$,"['delivery', 'pickup']",False,"Southern, Soul Food, Buffets","southern, soulfood, buffets",33.9649,-118.22554,US,CA,South Gate,90280,"['delivery', 'pickup']"
24,Ns6lRJUf6yLX7Ww_aPuuqA,Emy Burgers,3.5,11,$,['delivery'],False,Burgers,burgers,33.9734845,-118.2478149,US,CA,Los Angeles,90001,['delivery']
25,4fjCNwFoUFZqBqwBCbRoXg,Trattoria 25 Restaurant,3.5,249,$$,['delivery'],False,"Italian, Venues & Event Spaces","italian, venues",34.014455,-118.230759,US,CA,Vernon,90058,['delivery']
26,2uISFQHKKLPmF27myEX2rA,Fries First,5.0,25,$$,[],False,"Food Trucks, Waffles, American (Traditional)","foodtrucks, waffles, tradamerican",33.96699,-118.25206,US,CA,Los Angeles,90001,
27,JhaM-bKmSmKIrXquHnJMdg,Norigami,4.0,21,,[],False,"Japanese, Sushi Bars","japanese, sushi",33.9788284301758,-118.249931335449,US,CA,Los Angeles,90001,
28,hJB2jzfi83qnBYvx-ryXIw,Jade Siam Restaurants,4.0,438,$$,"['delivery', 'pickup']",False,"Thai, Noodles","thai, noodles",33.988765,-118.225828,US,CA,Huntington Park,90255,"['delivery', 'pickup']"
29,g1qqGhzvCzxek2l0DewpPQ,Nina's Cafe,4.5,514,$$,"['delivery', 'pickup']",False,"French, Breakfast & Brunch, Sandwiches","french, breakfast_brunch, sandwiches",33.98179,-118.21985,US,CA,Huntington Park,90255,"['delivery', 'pickup']"
30,Mafm93t8rXgs8_8uJY50pw,Teriyaki Sushi House,4.0,166,$,['delivery'],False,Sushi Bars,sushi,33.9464378356934,-118.216743469238,US,CA,South Gate,90280,['delivery']
31,O1AUEsvjkW7N2hlC0g_A7A,Gabo Crepes,4.5,26,$,[],False,"Creperies, Street Vendors","creperies, streetvendors",33.988999,-118.265772,US,CA,Los Angeles,90011,
32,RDJcioKEyvAfB4D3UAqiig,Gloria's Restaurant & Bar,4.0,325,$$,"['delivery', 'pickup']",False,"Mexican, Bars, Seafood","mexican, bars, seafood",33.9677999,-118.22554,US,CA,Huntington Park,90255,"['delivery', 'pickup']"
33,SnCYLASSE28SbOtiXiCaMA,Cocina Dona Chona,4.5,31,$,['delivery'],False,Mexican,mexican,33.9745851,-118.2378913,US,CA,Los Angeles,90001,['delivery']
34,IAzVa3gaOGeIKttZqphD2g,Teddy's Red Tacos,4.0,871,$,['delivery'],False,"Food Trucks, Tacos","foodtrucks, tacos",33.9894829,-118.262014,US,CA,Los Angeles,90011,['delivery']
35,7plJ-DrATdHWzieJ7pW0vg,Hot Mariscos,4.0,79,$$,['delivery'],False,"Seafood, Cajun/Creole","seafood, cajun",33.97445,-118.22335,US,CA,Huntington Park,90255,['delivery']
36,TFj6wpybgQdAgoGPl6rKlg,Golden Burger,4.0,35,$,['delivery'],False,"Burgers, Asian Fusion","burgers, asianfusion",33.99491,-118.22566,US,CA,Huntington Park,90255,['delivery']
37,nGl-1x3muEnPshitZycHBw,Grilled Fraiche,5.0,49,$$,"['delivery', 'pickup']",False,Caribbean,caribbean,33.960329905405,-118.258849941194,US,CA,Los Angeles,90001,"['delivery', 'pickup']"
38,6w7A4JOwwsUka_DhZFFIDA,Monty’s Chicken & Waffles,4.5,81,,"['delivery', 'pickup']",False,"Waffles, Sandwiches, Chicken Shop","waffles, sandwiches, chickenshop",34.0148676008897,-118.278790867221,US,CA,Los Angeles,90037,"['delivery', 'pickup']"
39,U8WecORGaJ9SV_sbOpCp8A,Taqueria Guadalupana,4.0,7,$,[],False,"Food Trucks, Mexican","foodtrucks, mexican",33.97458,-118.24746,US,CA,Los Angeles,90001,
40,XPKe6zJi3_oRVDQfVOmNyQ,Hana Teppanyaki,4.5,45,,['delivery'],False,Teppanyaki,teppanyaki,33.9825900837863,-118.224955448869,US,CA,Huntington Park,90255,['delivery']
41,VOKQEG1vBs1dRU9uaYMfoA,King Pollo II,5.0,6,,"['delivery', 'pickup']",False,Mexican,mexican,33.975152,-118.248104,US,CA,Los Angeles,90001,"['delivery', 'pickup']"
42,s-ReMKeAoJNfKKdwzvwAtg,Las Islitas No 1,4.0,78,$$,[],False,Mexican,mexican,33.9880144,-118.2522549,US,CA,Los Angeles,90001,
43,BbNxYHulPQpgL-F7Zudnyw,Pollos A La Brasa Los Andes,4.0,79,$$,['delivery'],False,"Peruvian, Latin American","peruvian, latin",33.96285,-118.224095,US,CA,South Gate,90280,['delivery']
44,9Zx9FRtyZvnSKJjh6VJNgg,Wing Society,4.0,20,,[],False,"Chicken Wings, Caterers, Food Trucks","chicken_wings, catering, foodtrucks",33.97397,-118.24989,US,CA,Los Angeles,90001,
45,1BM123KELCDfKc4JJsvrPg,Birreria El Guero,4.0,48,$,[],False,Mexican,mexican,33.9815068735548,-118.236568495631,US,CA,Huntington Park,90255,
46,JbODievonk51C8_W5F0zmQ,Ariya Thai Kitchen,4.0,192,$$,['delivery'],False,Thai,thai,33.9815356,-118.2260583,US,CA,Huntington Park,90255,['delivery']
47,OrAmsVf-5ELQu7gxoilMTQ,Thirty5 Degrees,4.5,229,$,['delivery'],False,"Cafes, Breakfast & Brunch, American (Traditional)","cafes, breakfast_brunch, tradamerican",33.99176,-118.22471,US,CA,Huntington Park,90255,['delivery']
48,4IOkim0jLGwECJQeA8N4xg,8E8 Thai Street Food,5.0,45,,[],False,"Food Trucks, Thai","foodtrucks, thai",33.9888881,-118.2708026,US,CA,Los Angeles,90013,
49,2a9cbMHttND-dNoZYSrxGw,Birria La Chingona,5.0,6,,[],False,Tacos,tacos,33.971489,-118.256722,US,CA,Los Angeles,90001,
50,SlAhlIL5KAXb4136SHFkOw,Bangin Buns,4.0,5,,"['pickup', 'delivery']",False,Fast Food,hotdogs,33.975267,-118.248158,US,CA,Los Angeles,90001,"['pickup', 'delivery']"
51,spKUIFIABLaU63Ex4PEYvQ,Rays BBQ,4.5,801,$$,['delivery'],False,"Barbeque, Smokehouse, Salad","bbq, smokehouse, salad",33.986598,-118.229803,US,CA,Huntington Park,90255,['delivery']
52,crdnz733UMAwJ_TniUrsMA,Mean Chix,4.5,62,,"['pickup', 'delivery']",False,"Chicken Wings, Halal, American (Traditional)","chicken_wings, halal, tradamerican",33.9284756,-118.2148129,US,CA,Lynwood,90262,"['pickup', 'delivery']"
53,Mafm93t8rXgs8_8uJY50pw,Teriyaki Sushi House,4.0,166,$,['delivery'],False,Sushi Bars,sushi,33.9464378356934,-118.216743469238,US,CA,South Gate,90280,['delivery']
54,4iI6_cUb8bHxJXD74Ea1LA,Everytable,5.0,32,,"['pickup', 'delivery']",False,Salad,salad,33.9432089154969,-118.245038241148,US,CA,Los Angeles,90002,"['pickup', 'delivery']"
55,0pWO-0cHH0Jr6nyINqvadA,Charolitas con Amor y Queso,5.0,3,,[],False,Pop-Up Restaurants,popuprestaurants,33.96699,-118.25206,US,CA,Los Angeles,90001,
56,BA7TnabiZhm4S5Jv7jbkxA,Hawkins House of Burgers,4.5,1559,$,"['pickup', 'delivery']",False,"Burgers, Chicken Wings, Fast Food","burgers, chicken_wings, hotdogs",33.9292549,-118.2522808,US,CA,Los Angeles,90059,"['pickup', 'delivery']"
57,sc-GOTy-X2wZP9HjzPoMDQ,Xonxitas Vegan Mexican,5.0,4,,[],False,Pop-Up Restaurants,popuprestaurants,33.94826,-118.24717,US,CA,Los Angeles,90002,
58,GIccVBiWiHQz5lWrTTV9Vw,Dona Mary,5.0,34,$$,[],False,Seafood,seafood,33.9378,-118.23663,US,CA,Los Angeles,90059,
59,3jfH3FY3jH16d6U57lBe_A,All Flavor No Grease,4.0,269,$$,['delivery'],False,"Food Trucks, Mexican","foodtrucks, mexican",33.93804,-118.26194,US,CA,Los Angeles,90059,['delivery']
60,nGl-1x3muEnPshitZycHBw,Grilled Fraiche,5.0,49,$$,"['pickup', 'delivery']",False,Caribbean,caribbean,33.960329905405,-118.258849941194,US,CA,Los Angeles,90001,"['pickup', 'delivery']"
61,U7WdEDOss5y3jKbdLQBJrA,Eatgud Cafe,4.0,158,$,"['pickup', 'delivery']",False,"Cafes, Acai Bowls, Sandwiches","cafes, acaibowls, sandwiches",33.94535,-118.21836,US,CA,South Gate,90280,"['pickup', 'delivery']"
62,ikEn56ZSpsEtst8jz32mMg,The Kickin' Crab- Lynwood,3.5,604,$$,['delivery'],False,"Cajun/Creole, Seafood","cajun, seafood",33.929895,-118.213818,US,CA,Lynwood,90262,['delivery']
63,Wn2IYoMsji6oX8vx347-kA,Birrieria Dianita,5.0,1,,[],False,Mexican,mexican,33.93793810530436,-118.25265878134584,US,CA,Los Angeles,90059,
64,wFBv3M7WiaVhV7jyQw2_VQ,Dirty South Soulfood,4.0,185,$$,"['pickup', 'delivery']",False,"Southern, Soul Food, Buffets","southern, soulfood, buffets",33.9649,-118.22554,US,CA,South Gate,90280,"['pickup', 'delivery']"
65,oQoYo9AehqNuQJmB0MoyOA,Chinese Express,4.5,25,$,['delivery'],False,Chinese,chinese,33.943522,-118.244675,US,CA,Los Angeles,90002,['delivery']
66,jXlGcuFRUSBxm5ycg3UQOw,Watts Coffee House,4.0,314,$$,"['pickup', 'delivery']",False,"Coffee & Tea, Breakfast & Brunch","coffee, breakfast_brunch",33.943472,-118.239854,US,CA,Los Angeles,90002,"['pickup', 'delivery']"
67,cygCM1bBclo3bPTbXtRbHg,Hong Kong Bowl,4.5,22,$,['delivery'],False,Chinese,chinese,33.9600151,-118.2448571,US,CA,Los Angeles,90001,['delivery']
68,TjhE4fvPNXL-Wl4pZYJXFg,Ying Hana Teppanyaki,4.0,9,,[],False,Japanese,japanese,33.95995,-118.24652,US,CA,Los Angeles,90001,
69,RYpJyi1RhScLZAYrqPMLKQ,Avila's El Ranchito Mexican Restaurant,4.5,666,$$,"['pickup', 'delivery']",False,Mexican,mexican,33.978496,-118.230545,US,CA,Huntington Park,90255,"['pickup', 'delivery']"
70,ACm6CB7VI0d-K5qNzEODhg,Lettuce Feast,4.0,206,$$,[],False,"Food Trucks, Vegan, Comfort Food","foodtrucks, vegan, comfortfood",33.97853,-118.2497,US,CA,Los Angeles,90001,
71,G8FOVf0SALJUYeA2RnOpGA,Tasty Hawaiian Grill & Tea Bar,4.5,21,,"['pickup', 'delivery']",False,Hawaiian,hawaiian,33.9648244,-118.2246359,US,CA,South Gate,90280,"['pickup', 'delivery']"
72,o3h6imsqky0rH0PryYTlPQ,Meat Bowl,4.5,141,$,"['pickup', 'delivery']",False,Chinese,chinese,33.9642198107267,-118.224787135968,US,CA,South Gate,90280,"['pickup', 'delivery']"
73,nwmhyyDOd3J7xCl4N8OTKw,El Papayote Grill,3.5,27,,"['pickup', 'delivery']",False,Salvadoran,salvadoran,33.960255,-118.244729,US,CA,Los Angeles,90001,"['pickup', 'delivery']"
74,_vVQjfThhJUZz7wdh_GOyw,Rajas con Crema,5.0,173,$$,"['pickup', 'delivery', 'restaurant_reservation']",False,Mexican,mexican,33.988394,-118.199977,US,CA,Maywood,90270,"['pickup', 'delivery', 'restaurant_reservation']"
75,BbNxYHulPQpgL-F7Zudnyw,Pollos A La Brasa Los Andes,4.0,79,$$,['delivery'],False,"Peruvian, Latin American","peruvian, latin",33.96285,-118.224095,US,CA,South Gate,90280,['delivery']
76,Y0ZyDCpkrZUTeEB55BMlZw,Puerto Rican Flavors,4.5,13,,[],False,"Puerto Rican, Empanadas","puertorican, empanadas",33.9626135,-118.20502183,US,CA,South Gate,90280,
77,Hik7Mj-Sam7goClQsMun7A,Balam Mexican Kitchen,4.5,635,$,"['pickup', 'delivery']",False,Mexican,mexican,33.9221976552512,-118.209478348335,US,CA,Lynwood,90262,"['pickup', 'delivery']"
78,XeALMPvVEoQf1_4YhTk-lw,Pupuseria La Favorita,4.5,26,$,['delivery'],False,Salvadoran,salvadoran,33.9600251,-118.2554119,US,CA,Los Angeles,90001,['delivery']
79,sKfwQYSfABIqXZ2RPAxlxQ,Tacos Iberia,3.0,1,,[],False,Mexican,mexican,33.953537377635364,-118.23308195918798,US,CA,Los Angeles,90002,
80,qLyuqzKOuCvKYJ7uk1L1gQ,Mariscos Don Camaron,4.5,9,,[],False,"Seafood, Food Trucks","seafood, foodtrucks",33.9544778739126,-118.230577476155,US,CA,Los Angeles,90002,
81,g-UI37EnWkqBfoRIiHFohw,Roscoe's House of Chicken & Waffles,3.5,594,$$,"['pickup', 'delivery']",False,"Soul Food, Waffles, Chicken Shop","soulfood, waffles, chickenshop",33.9599,-118.27421,US,CA,Los Angeles,90003,"['pickup', 'delivery']"
82,-jynRAmRh0ZRDI9yLkZ0Nw,La Pasta,5.0,172,,"['pickup', 'delivery']",False,"Italian, Pizza, Pasta Shops","italian, pizza, pastashops",33.931881,-118.20376233,US,CA,Lynwood,90262,"['pickup', 'delivery']"
83,hARUOlpi_buVjoU0gN2ugw,La Zona Sushi,5.0,7,,"['pickup', 'delivery']",False,Sushi Bars,sushi,33.9821249031109,-118.238637149334,US,CA,Los Angeles,90001,"['pickup', 'delivery']"
84,tsJ5KxruWUDFBdfXYGvomQ,Ono Hawaiian BBQ,2.5,54,$,"['pickup', 'delivery']",False,"Hawaiian, Specialty Food","hawaiian, gourmet",33.9746852964163,-118.233785033226,US,CA,Walnut Park,90255,"['pickup', 'delivery']"
85,O1AUEsvjkW7N2hlC0g_A7A,Gabo Crepes,4.5,26,$,[],False,"Creperies, Street Vendors","creperies, streetvendors",33.988999,-118.265772,US,CA,Los Angeles,90011,
86,uWV1r_tQ7vAWK5IELeCmmg,Birrieria Jalisco,4.5,90,$,[],False,Mexican,mexican,33.96956,-118.24735,US,CA,Los Angeles,90001,
87,OaCymRvOt78S2X1IGZ954w,Hot Bowl Noodle,3.5,182,$,"['pickup', 'delivery']",False,Vietnamese,vietnamese,33.9300751,-118.2133701,US,CA,Lynwood,90262,"['pickup', 'delivery']"
88,GdK64PuX-0xX4W1c8JdFlg,New Time Noodles,4.5,27,$,[],False,"Noodles, Korean","noodles, korean",33.983365,-118.224373,US,CA,Huntington Park,90255,
89,gZrdIbfkOF6E2RhUhKD6PA,Super Teriyaki,4.0,85,$,"['pickup', 'delivery']",False,Japanese,japanese,33.928742,-118.197725,US,CA,Lynwood,90262,"['pickup', 'delivery']"
90,_EtO0tY3TopSiav6TVeFWQ,Birrieria El Rebaño,4.5,25,,[],False,Mexican,mexican,33.9597398614724,-118.222093715182,US,CA,South Gate,90280,
91,RDJcioKEyvAfB4D3UAqiig,Gloria's Restaurant & Bar,4.0,325,$$,"['pickup', 'delivery']",False,"Mexican, Bars, Seafood","mexican, bars, seafood",33.9677999,-118.22554,US,CA,Huntington Park,90255,"['pickup', 'delivery']"
92,2uISFQHKKLPmF27myEX2rA,Fries First,5.0,25,$$,[],False,"Food Trucks, Waffles, American (Traditional)","foodtrucks, waffles, tradamerican",33.96699,-118.25206,US,CA,Los Angeles,90001,
93,AQ7KoCN_teDawMdJ9Tbr6g,Tacos De Birria,5.0,11,,[],False,Tacos,tacos,33.9326545706018,-118.238924259259,US,CA,Los Angeles,90059,
94,zTxMfTxnxZ4gRdcTjGPLnw,La Cemita Poblana,4.0,22,$,[],False,Mexican,mexican,33.959888,-118.255783,US,CA,Los Angeles,90001,
95,asebA7Ytz9qyVSqEfkj0kg,Kim's Fish World,4.5,49,$,['delivery'],False,"Seafood Markets, Fish & Chips","seafoodmarkets, fishnchips",33.94512317,-118.2647765,US,CA,Los Angeles,90003,['delivery']
96,g1qqGhzvCzxek2l0DewpPQ,Nina's Cafe,4.5,514,$$,"['pickup', 'delivery']",False,"French, Breakfast & Brunch, Sandwiches","french, breakfast_brunch, sandwiches",33.98179,-118.21985,US,CA,Huntington Park,90255,"['pickup', 'delivery']"
97,9ZxnEb6IaQVJ1nMiaUQF-A,The Garbage Truck,3.5,79,$,[],False,"Food Trucks, Burgers, Hot Dogs","foodtrucks, burgers, hotdog",33.97908,-118.25009,US,CA,Los Angeles,90001,
98,iKn3cdBPI9o2KNAJ4OHvLQ,The Los Angeles Banh Mi Company,4.5,272,$,"['pickup', 'delivery']",False,"Vietnamese, Sandwiches, Coffee & Tea","vietnamese, sandwiches, coffee",33.9746224,-118.2280264,US,CA,Huntington Park,90255,"['pickup', 'delivery']"
99,_Gzb8oDw4QNbAVIqW9Kanw,La Casita Mexicana,4.0,1092,$$,"['pickup', 'delivery']",False,"Mexican, Caterers","mexican, catering",33.9786,-118.19515,US,CA,Bell,90201,"['pickup', 'delivery']"
100,SlAhlIL5KAXb4136SHFkOw,Bangin Buns,4.0,5,,"['pickup', 'delivery']",False,Fast Food,hotdogs,33.975267,-118.248158,US,CA,Los Angeles,90001,"['pickup', 'delivery']"
101,spKUIFIABLaU63Ex4PEYvQ,Rays BBQ,4.5,801,$$,['delivery'],False,"Barbeque, Smokehouse, Salad","bbq, smokehouse, salad",33.986598,-118.229803,US,CA,Huntington Park,90255,['delivery']
102,g-UI37EnWkqBfoRIiHFohw,Roscoe's House of Chicken & Waffles,3.5,594,$$,"['pickup', 'delivery']",False,"Soul Food, Waffles, Chicken Shop","soulfood, waffles, chickenshop",33.9599,-118.27421,US,CA,Los Angeles,90003,"['pickup', 'delivery']"
103,Bk-csZIKVtMTQTpH6V9gUg,Charlie's Famous Fried Chicken,4.5,108,$,['delivery'],False,Chicken Shop,chickenshop,33.95967,-118.30991,US,CA,Los Angeles,90047,['delivery']
104,gTnENRgQRiVa3LxKO6FaBg,Taste of the Caribbean,4.5,23,,"['pickup', 'delivery']",False,Caribbean,caribbean,33.98727,-118.30001,US,CA,Los Angeles,90044,"['pickup', 'delivery']"
105,nGl-1x3muEnPshitZycHBw,Grilled Fraiche,5.0,49,$$,"['pickup', 'delivery']",False,Caribbean,caribbean,33.960329905405,-118.258849941194,US,CA,Los Angeles,90001,"['pickup', 'delivery']"
106,QWtzUp4zLqzjA_jxLbvDvA,Granny's Kitchen,4.0,358,$$,"['pickup', 'delivery']",False,"Soul Food, Southern","soulfood, southern",33.9930975470943,-118.256304330019,US,CA,Los Angeles,90011,"['pickup', 'delivery']"
107,4QMmwnNXiojYoZz_ZanJDw,El Tacorin,5.0,69,$,['delivery'],False,Mexican,mexican,33.96454,-118.27863,US,CA,Los Angeles,90003,['delivery']
108,IiOCPQrQ6Gsl5r0R9xrguw,Voodoo Vegan,5.0,10,,[],False,"Vegan, Food Stands","vegan, foodstands",33.9435195922852,-118.310325622559,US,CA,Los Angeles,90047,
109,E9WhBvGEUK4mQxoReDcG3g,The Seafood Xperience,4.0,105,$$,"['pickup', 'delivery']",False,Seafood,seafood,33.974557,-118.315862,US,CA,Los Angeles,90047,"['pickup', 'delivery']"
110,Wn2IYoMsji6oX8vx347-kA,Birrieria Dianita,5.0,1,,[],False,Mexican,mexican,33.93793810530436,-118.25265878134584,US,CA,Los Angeles,90059,
111,-2j7SP_13FMBGOr4ds_nfQ,Wings & Pot,4.0,327,$$,"['pickup', 'delivery']",False,Chicken Wings,chicken_wings,33.95968,-118.31648,US,CA,Los Angeles,90047,"['pickup', 'delivery']"
112,O1AUEsvjkW7N2hlC0g_A7A,Gabo Crepes,4.5,26,$,[],False,"Creperies, Street Vendors","creperies, streetvendors",33.988999,-118.265772,US,CA,Los Angeles,90011,
113,0pWO-0cHH0Jr6nyINqvadA,Charolitas con Amor y Queso,5.0,3,,[],False,Pop-Up Restaurants,popuprestaurants,33.96699,-118.25206,US,CA,Los Angeles,90001,
114,fuWDAc8MP08YnZ-evy7GmA,House Of Boba,4.5,53,$,['delivery'],False,"Juice Bars & Smoothies, Sandwiches, American (Traditional)","juicebars, sandwiches, tradamerican",33.98642,-118.27357,US,CA,Los Angeles,90003,['delivery']
115,9EebmPfSytjnkpf5_pXPqw,Taqueria Tijuana,4.5,114,$,[],False,Mexican,mexican,33.974841,-118.277428,US,CA,Los Angeles,90003,
116,IAzVa3gaOGeIKttZqphD2g,Teddy's Red Tacos,4.0,871,$,['delivery'],False,"Food Trucks, Tacos","foodtrucks, tacos",33.9894829,-118.262014,US,CA,Los Angeles,90011,['delivery']
117,2uISFQHKKLPmF27myEX2rA,Fries First,5.0,25,$$,[],False,"Food Trucks, Waffles, American (Traditional)","foodtrucks, waffles, tradamerican",33.96699,-118.25206,US,CA,Los Angeles,90001,
118,AVjY2YHr2856Rml5jmDz7Q,The Burger Palace,4.5,58,$,['delivery'],False,Burgers,burgers,33.9599551,-118.2737099,US,CA,Los Angeles,90003,['delivery']
119,3jfH3FY3jH16d6U57lBe_A,All Flavor No Grease,4.0,269,$$,['delivery'],False,"Food Trucks, Mexican","foodtrucks, mexican",33.93804,-118.26194,US,CA,Los Angeles,90059,['delivery']
120,9qdHbEyvE-MpCwychSVpBA,UNCLEDADDY BBQ,4.5,7,,['delivery'],False,Barbeque,bbq,33.94634,-118.29201816,US,CA,Los Angeles,90044,['delivery']
121,1HrogOZbNczL9qeyJqNJRQ,Paseo San Miguel,4.0,56,$$,['delivery'],False,Salvadoran,salvadoran,33.98476,-118.29185,US,CA,Los Angeles,90044,['delivery']
122,RYpJyi1RhScLZAYrqPMLKQ,Avila's El Ranchito Mexican Restaurant,4.5,666,$$,"['pickup', 'delivery']",False,Mexican,mexican,33.978496,-118.230545,US,CA,Huntington Park,90255,"['pickup', 'delivery']"
123,4IOkim0jLGwECJQeA8N4xg,8E8 Thai Street Food,5.0,45,,[],False,"Food Trucks, Thai","foodtrucks, thai",33.9888881,-118.2708026,US,CA,Los Angeles,90013,
124,XZZGcH4in7TU4BPqBF6q8Q,Oh Manna Fish Market,4.5,52,$,['delivery'],False,"Seafood Markets, American (Traditional)","seafoodmarkets, tradamerican",33.96042,-118.26055,US,CA,Los Angeles,90001,['delivery']
125,6DbAYZ3iMqHn60Maepqa9Q,Casa Noodle Teriyaki,4.5,137,$,['delivery'],False,"Japanese, Noodles","japanese, noodles",33.98642,-118.27357,US,CA,Los Angeles,90003,['delivery']
126,2a9cbMHttND-dNoZYSrxGw,Birria La Chingona,5.0,6,,[],False,Tacos,tacos,33.971489,-118.256722,US,CA,Los Angeles,90001,
127,ACm6CB7VI0d-K5qNzEODhg,Lettuce Feast,4.0,206,$$,[],False,"Food Trucks, Vegan, Comfort Food","foodtrucks, vegan, comfortfood",33.97853,-118.2497,US,CA,Los Angeles,90001,
128,8jli1kBhKRw3SluKvwyr8g,The Original Snack Shack,4.5,45,$,['delivery'],False,Burgers,burgers,33.991413,-118.256095,US,CA,Los Angeles,90011,['delivery']
129,uWV1r_tQ7vAWK5IELeCmmg,Birrieria Jalisco,4.5,90,$,[],False,Mexican,mexican,33.96956,-118.24735,US,CA,Los Angeles,90001,
