STATE,NAME,geo_type,transportation_type,country,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24
34,New Jersey,sub-region,transit,United States,100.0,97.8,98.36,100.9,106.48,100.01,94.25,100.86,98.85,96.96,100.67,111.3,107.95,90.05,94.23,94.24,96.02,95.29,107.46,108.2,86.24,100.22,97.94,95.29,95.89,109.36,112.56,93.34,95.39,98.8,97.73,101.69,116.88,111.86,99.56,108.07,104.34,100.32,101.11,114.38,115.66,97.31,96.99,95.76,95.17,96.31,110.74,113.68,93.67,99.12,96.25,97.21,101.17,107.39,112.68,93.19,96.71,88.88,86.08,74.25,76.31,69.05,55.38,50.61,44.18,40.92,36.79,38.66,31.9,27.13,27.71,30.24,27.49,29.48,31.04,25.8,25.43,29.92,27.65,26.68,26.27,25.66,25.34,23.66,27.36,27.67,27.45,25.39,25.86,24.91,22.01,24.37,26.49,26.09,26.23,27.12,25.4,26.13,29.0,27.01,28.27,28.32,26.91,29.34,24.54,29.51,31.21,30.51,28.9,32.57,33.64,32.41,35.58,35.13,32.86,33.91,32.12,32.05,31.63,30.08,26.49,36.02,36.65,38.8,40.13,35.51,38.89,37.32,38.54,40.28,40.44,38.65,40.38,42.54,44.22,43.71,41.83,43.84,46.17,42.42,44.11,42.61,41.23,43.85,45.13,51.6,50.0,52.85,53.92,52.63,48.24,57.1,55.84,53.06,56.22,55.65,54.44,54.23,61.34,59.57,54.9,65.06,62.82,62.66,63.38,66.85,64.46,61.11,67.32,61.97,63.89,69.39,69.84,65.76,65.92,67.73,70.13,67.61,70.02,60.68,69.28,68.79,70.75,71.92,70.29,69.37,73.25,76.2,69.18,72.37,71.61,69.73,66.94,71.75,78.48,69.95,74.71,70.45,71.19,71.03,72.67,77.71,65.13,72.28,58.52,75.08,68.88,71.8,73.6,70.71,73.66,71.47,68.67,65.85,75.77,75.08,60.0,72.63,72.36,69.6,71.63,78.59,78.05,68.71,73.36,71.19,69.6,71.1,74.45,67.32,71.61,70.78,69.96,68.68,71.48,81.45,80.18,70.66,73.21,73.0,68.36,66.22,77.15,78.28,67.08,67.33,67.17,70.18,73.08,78.92,83.79,67.89,69.46,68.94,70.54,73.62,79.45,82.34,70.87,71.39,64.7,68.01,70.68,77.3,80.61,68.02,67.77,66.81,67.09,68.21,77.88,80.19,65.54,62.14,63.34,67.34,68.48,67.98,79.81,67.81,66.61,65.38,65.89,67.54,76.91,79.67
35,New Mexico,sub-region,transit,United States,100.0,90.72,92.61,88.96,96.4,98.72,84.75,95.97,94.13,91.99,92.33,97.77,96.68,81.19,86.83,95.17,96.92,103.27,102.61,96.97,80.34,99.95,88.49,98.2,94.36,102.37,100.52,88.68,93.13,86.03,95.69,100.47,109.85,97.96,94.69,110.09,101.99,104.83,105.87,108.72,99.62,83.23,103.6,90.15,98.58,94.03,101.66,102.32,87.68,91.66,97.77,97.3,103.41,118.24,122.88,94.03,108.48,108.53,104.78,98.63,97.3,93.56,77.26,88.82,80.15,74.61,62.86,60.87,63.62,51.07,55.19,48.32,53.67,47.56,44.58,49.93,41.17,46.23,49.41,41.83,43.82,49.12,45.24,38.32,41.31,44.77,43.39,45.19,43.77,38.09,31.98,37.52,42.07,41.73,43.44,44.01,46.33,44.15,46.04,45.14,50.54,45.19,50.69,49.88,42.63,48.32,50.97,51.54,54.38,59.88,56.7,50.54,51.4,55.23,55.19,55.71,55.8,50.17,47.13,48.27,43.06,57.51,57.75,57.46,59.88,57.27,60.97,57.84,61.72,61.25,67.27,66.13,62.29,59.45,60.4,62.2,63.19,77.4,70.2,58.93,66.94,68.31,66.65,75.13,76.17,74.94,73.14,74.66,75.89,74.85,80.15,79.73,77.36,78.68,79.58,77.78,76.22,76.46,85.03,83.61,68.74,78.78,79.54,89.67,81.38,94.13,91.19,81.15,88.02,84.56,86.12,93.04,89.58,68.26,76.98,80.29,86.97,80.44,85.98,86.88,83.89,74.14,84.7,76.69,79.91,77.4,91.43,76.74,69.68,77.31,76.13,74.32,77.83,77.17,82.66,70.82,73.8,75.13,79.82,78.92,86.26,74.75,72.24,77.36,76.41,79.06,81.71,78.59,82.24,81.76,84.84,85.88,79.91,82.8,82.85,78.07,73.99,72.0,75.56,78.26,74.23,83.61,78.07,71.48,71.53,72.19,74.7,72.1,81.1,90.15,72.95,77.36,68.88,77.17,79.11,90.9,87.73,77.4,74.04,80.81,67.79,75.18,84.51,80.1,68.12,81.38,75.32,87.02,88.82,101.61,95.36,85.32,80.72,84.37,80.67,84.13,88.11,80.2,75.04,75.79,77.4,83.56,79.77,84.56,80.2,72.62,80.86,73.42,76.5,77.97,88.44,79.96,71.2,71.44,72.15,70.49,77.97,83.51,79.58,65.37,69.73,71.29,70.82,73.24,77.97,71.06
36,New York,sub-region,transit,United States,100.0,92.43,95.0,96.13,107.55,101.04,93.19,87.68,94.99,98.6,101.84,114.49,104.91,85.74,91.86,92.1,93.31,98.52,111.06,109.28,83.18,91.06,92.88,94.11,97.91,111.84,117.34,89.65,91.99,95.97,98.02,103.76,119.06,113.64,95.8,100.91,99.79,102.92,104.56,116.02,117.24,87.52,91.55,92.27,94.9,97.65,115.02,115.2,86.65,92.75,94.11,99.05,100.82,108.88,114.58,85.75,92.38,85.29,81.93,69.66,66.52,58.12,40.36,36.64,30.07,27.33,25.2,24.02,18.55,14.75,15.33,16.31,15.24,15.91,17.05,13.3,12.69,15.21,14.46,14.38,13.8,13.84,12.72,12.03,14.23,13.49,13.24,12.67,13.34,12.53,11.19,12.72,14.13,13.31,13.24,13.34,12.0,12.43,14.5,13.37,13.86,13.81,13.81,14.0,12.04,14.85,15.88,15.16,14.81,16.34,16.19,15.5,17.79,17.71,16.86,17.43,16.01,15.12,14.29,15.18,12.96,18.13,18.25,19.88,18.83,17.18,19.74,19.87,20.02,20.64,21.08,17.87,19.16,20.41,23.11,23.02,21.85,23.07,23.85,20.76,23.94,24.08,22.21,24.69,23.97,25.95,24.76,29.22,29.97,29.17,27.21,32.38,30.14,27.32,30.78,31.9,31.7,32.08,37.15,32.39,28.37,36.25,37.27,37.34,37.81,41.06,34.83,33.67,39.84,38.33,38.5,43.52,37.59,37.7,33.84,38.54,40.6,40.79,44.79,34.94,38.79,40.97,42.51,44.78,44.25,44.03,44.8,48.08,40.93,43.79,45.75,42.16,42.88,45.74,50.99,42.68,46.33,46.36,48.6,46.97,48.2,50.03,39.27,47.93,41.89,52.62,49.41,49.94,51.41,46.9,50.13,50.28,47.35,46.58,55.54,54.33,38.01,51.46,53.62,49.67,55.39,58.76,56.03,47.39,52.24,52.31,53.39,49.53,55.2,47.79,49.96,48.99,49.12,48.99,51.78,59.3,57.42,48.97,48.79,51.42,51.52,47.81,59.89,60.31,46.71,50.28,50.12,50.82,52.83,58.38,61.42,50.53,49.16,49.52,51.93,52.07,61.21,63.67,49.52,50.01,46.72,50.27,54.26,59.37,62.86,48.0,49.34,50.35,49.99,53.39,61.37,65.56,48.35,42.12,46.92,52.51,54.38,51.3,64.92,50.11,50.11,50.06,51.38,53.06,61.93,63.95
37,North Carolina,sub-region,transit,United States,100.0,97.73,100.52,100.21,110.12,98.4,86.27,96.83,99.09,96.38,97.07,104.12,104.53,81.01,98.96,98.3,92.22,95.53,102.45,102.36,84.12,98.02,97.45,101.45,94.77,106.56,99.3,88.89,99.89,98.37,104.05,104.25,117.73,109.11,89.16,102.72,103.59,98.71,86.54,107.37,109.82,88.14,95.97,101.33,97.05,106.2,118.43,117.57,94.45,100.36,98.11,96.82,100.68,117.94,114.55,86.89,99.76,95.86,96.19,94.29,95.36,88.89,69.15,75.53,72.44,65.91,67.41,70.15,60.5,47.42,53.87,53.8,53.82,51.05,56.02,52.87,48.72,53.0,46.37,47.49,50.7,52.01,51.34,44.65,52.46,51.48,52.39,52.36,51.4,48.09,36.98,50.63,52.1,50.18,52.01,56.57,54.11,46.53,51.7,53.45,54.01,50.13,58.26,53.93,50.86,57.43,56.18,57.3,55.95,62.38,60.07,57.93,63.59,59.91,61.53,62.59,63.84,64.07,54.47,56.29,45.02,62.14,65.88,68.88,72.39,63.49,63.9,60.86,55.9,61.11,72.61,77.62,67.89,68.15,71.43,64.22,71.02,72.34,78.88,68.76,70.97,75.59,74.91,77.95,81.93,85.06,74.34,77.51,80.43,78.01,76.0,85.7,88.65,75.33,73.65,68.71,73.62,78.09,85.26,86.66,72.08,80.47,85.91,81.18,84.16,91.64,94.47,76.03,82.66,81.54,82.66,89.86,87.55,78.84,79.0,85.16,80.6,79.93,85.43,92.87,95.98,77.16,83.73,83.92,83.61,83.05,89.91,93.43,77.41,83.8,81.79,80.57,82.16,86.91,93.07,77.3,83.64,79.55,80.81,82.38,85.84,89.18,77.49,78.88,82.35,83.64,85.45,92.68,95.7,82.99,91.82,87.07,88.76,88.51,95.14,93.15,79.52,82.1,84.01,80.57,83.02,87.57,90.65,76.89,79.37,79.03,80.81,79.57,89.04,84.13,76.03,74.86,77.92,79.68,84.08,93.37,90.1,76.56,79.88,81.64,75.82,78.11,88.57,85.32,73.64,76.43,76.98,82.45,83.24,97.53,96.49,82.86,88.06,85.14,85.91,83.35,89.0,93.32,78.46,87.25,79.23,82.24,85.62,90.87,90.26,77.13,80.43,82.91,81.05,85.15,90.64,85.91,69.49,80.36,81.15,80.65,83.34,88.0,91.07,76.89,79.22,79.53,80.22,81.19,88.52,90.28
38,North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ohio,sub-region,transit,United States,100.0,100.49,98.06,96.97,99.94,82.96,68.11,83.37,96.28,97.42,94.2,98.3,86.86,66.94,93.13,98.33,93.62,96.75,101.46,90.61,72.44,97.84,96.27,93.71,94.35,95.31,85.34,71.56,98.37,99.54,97.44,98.42,104.67,90.56,74.63,95.52,98.12,100.07,97.65,106.35,94.69,77.69,97.89,99.39,97.12,91.72,101.8,95.06,78.11,96.58,102.69,99.45,104.12,104.98,94.03,74.35,96.51,93.18,91.75,86.11,87.3,69.09,57.63,68.19,64.87,59.32,57.92,59.97,47.99,43.62,49.55,46.91,50.67,52.18,50.53,44.62,44.82,49.65,49.61,50.09,52.07,54.07,49.33,41.55,51.51,50.72,53.58,48.28,47.92,46.66,36.56,45.96,47.72,44.23,45.48,44.42,45.22,40.36,52.35,48.2,46.82,46.36,52.41,48.95,39.34,52.21,51.97,48.77,50.0,53.73,52.3,45.19,55.97,52.03,55.57,55.38,52.24,50.28,42.54,47.6,44.15,57.39,57.47,57.99,59.2,52.5,57.61,58.63,57.94,60.93,64.92,63.45,56.65,59.7,71.12,72.95,67.48,69.25,68.76,56.34,67.88,68.47,68.08,69.28,76.32,70.81,60.99,73.49,74.0,73.05,73.11,76.96,72.27,61.64,71.3,75.9,72.0,72.47,79.93,75.15,60.16,74.31,73.4,74.24,80.14,80.31,71.92,66.97,78.36,79.2,80.36,77.92,77.82,65.97,64.3,78.15,77.81,78.06,77.35,77.72,74.13,64.12,74.49,74.81,74.09,75.78,82.52,74.31,63.51,76.74,76.35,70.47,74.74,81.04,73.06,64.86,73.19,75.47,74.89,71.83,76.4,66.66,59.73,71.94,71.92,75.15,73.5,76.98,73.59,62.94,74.44,74.16,75.82,76.72,78.38,74.94,63.04,77.77,76.88,76.09,78.09,85.53,77.86,67.38,78.73,77.3,74.22,75.86,73.69,72.06,65.05,72.96,76.17,74.3,74.54,80.15,74.04,63.91,60.59,75.5,76.24,74.68,77.3,75.11,59.27,72.73,72.72,75.91,80.88,85.89,81.84,68.59,78.51,78.0,76.08,78.53,83.25,80.63,66.14,72.05,72.77,73.4,75.06,79.61,74.56,58.49,70.31,72.59,74.46,75.54,80.58,76.88,62.79,72.81,71.56,71.31,68.78,77.52,71.32,57.28,66.7,67.56,69.95,75.05,79.8,72.3
40,Oklahoma,sub-region,transit,United States,100.0,103.45,98.46,98.66,113.13,118.96,89.21,102.95,94.24,94.0,98.83,109.35,113.1,85.36,95.18,93.0,88.81,99.4,113.57,121.07,89.55,102.91,91.12,80.23,99.4,110.12,118.09,87.71,100.17,98.99,96.45,105.16,125.29,122.41,94.24,107.4,103.38,101.91,113.57,124.96,125.03,89.61,103.92,100.7,98.53,112.96,128.24,127.87,99.33,96.82,109.08,106.47,113.57,134.97,131.22,99.2,110.79,111.93,117.89,113.74,119.7,102.78,78.86,88.04,85.66,81.41,80.94,76.25,67.91,55.44,68.34,71.83,71.59,68.61,75.58,67.17,60.44,60.07,66.97,69.48,65.73,62.48,56.28,56.15,63.52,71.62,70.32,69.85,74.27,61.51,45.49,62.81,62.18,65.36,64.09,68.94,68.31,61.91,77.86,77.82,64.46,78.76,83.42,80.67,69.95,80.67,74.84,84.42,89.58,99.97,99.7,79.7,92.33,90.65,87.07,90.08,101.34,102.18,72.6,73.53,60.37,85.43,92.66,96.72,92.7,86.1,99.4,98.19,100.7,98.63,118.86,122.81,96.68,88.54,94.54,96.38,101.07,120.94,116.08,99.2,107.54,100.94,105.43,116.82,125.49,124.39,104.29,113.87,105.83,100.54,111.39,128.04,128.61,100.27,109.61,106.9,103.85,113.94,114.64,120.17,90.72,116.62,115.81,114.54,114.97,133.87,126.03,110.02,109.48,112.13,115.85,118.02,120.97,105.56,101.11,115.34,133.03,117.62,116.48,122.11,128.38,100.44,108.17,112.63,107.0,116.18,129.11,121.71,99.46,108.44,107.37,113.07,120.64,128.98,120.77,99.77,108.68,108.78,107.27,111.39,126.53,119.46,99.9,115.71,109.05,115.64,113.57,126.13,124.42,106.2,115.85,112.7,119.53,114.74,128.34,124.82,102.78,113.13,110.12,103.08,112.36,124.56,117.35,96.21,104.29,103.89,107.24,107.6,124.62,110.35,89.88,96.88,93.77,93.27,108.24,127.0,123.38,98.12,102.71,100.37,88.34,97.76,116.55,111.89,91.16,99.8,101.37,107.84,120.84,130.85,132.73,111.59,116.42,111.16,110.59,113.1,136.92,132.33,98.59,100.6,96.78,101.37,107.94,119.2,111.86,92.23,95.88,97.25,100.54,107.74,116.95,116.45,100.5,96.82,94.1,105.06,112.86,116.82,112.76,91.93,91.69,89.98,92.09,97.72,101.11,103.52
41,Oregon,sub-region,transit,United States,100.0,100.96,98.91,103.44,112.32,98.6,85.72,98.84,100.98,102.06,108.25,115.4,96.64,83.83,102.56,99.52,99.84,105.06,114.76,98.15,76.67,98.21,100.94,103.83,118.12,132.25,115.22,83.73,104.79,104.13,106.24,109.41,119.1,98.76,92.11,106.68,110.61,109.62,110.87,126.45,110.82,84.25,100.68,110.1,104.74,112.34,119.93,103.16,84.6,100.47,104.53,111.62,109.43,113.07,105.61,84.67,99.56,105.43,99.42,90.37,83.66,63.04,54.25,59.72,49.41,44.17,42.95,41.43,32.65,28.83,29.41,24.91,25.66,25.51,24.75,21.82,21.23,23.86,23.69,23.88,22.35,23.25,21.1,21.52,24.5,24.79,23.9,24.02,25.22,21.54,18.8,23.11,23.35,23.04,24.12,25.15,21.69,21.83,24.53,24.13,21.09,23.43,23.21,21.82,21.8,24.36,25.95,25.0,25.62,26.0,20.89,21.53,27.25,27.42,25.79,27.66,30.88,28.98,23.18,23.07,20.59,26.82,25.92,30.11,25.36,25.82,27.73,28.68,29.07,28.12,31.38,29.52,28.31,28.04,33.13,34.89,37.33,38.64,29.45,30.75,35.6,37.43,37.6,38.17,40.91,34.8,30.1,37.31,35.23,40.63,38.83,38.15,34.15,35.23,39.61,40.06,42.7,43.83,47.02,38.44,35.84,47.44,46.59,46.11,45.37,49.3,43.28,36.35,44.7,45.3,44.42,47.42,43.39,35.61,39.9,44.38,45.15,50.22,46.91,50.72,44.98,40.02,47.9,46.9,47.74,48.88,49.02,45.48,42.26,49.67,47.1,48.93,49.27,48.95,46.23,42.37,47.65,49.37,47.2,47.37,50.08,46.14,42.8,51.91,51.85,51.11,51.36,53.28,45.1,41.68,52.1,50.23,50.48,49.71,53.75,48.14,44.24,54.04,52.91,54.38,53.64,52.38,49.13,44.42,51.55,51.67,53.25,53.69,55.25,51.24,44.2,51.91,55.88,56.51,55.28,55.61,50.73,45.31,46.05,55.21,50.23,45.2,37.64,33.66,29.9,37.61,39.55,42.83,43.38,48.31,49.18,44.03,52.2,51.78,48.22,52.62,52.68,50.11,47.63,54.74,53.4,53.39,53.4,56.47,54.06,43.48,52.43,54.03,53.98,50.77,59.31,48.76,41.07,51.02,48.71,49.37,51.75,56.2,50.9,43.83,51.33,49.15,51.39,49.1,53.4,48.76
42,Pennsylvania,sub-region,transit,United States,100.0,97.42,98.22,97.66,106.18,85.04,77.59,88.73,94.1,94.2,95.1,112.01,89.49,72.5,89.54,91.08,91.61,93.48,105.29,92.83,71.05,92.83,90.98,92.76,94.51,103.8,93.75,77.05,92.26,94.62,95.34,100.03,113.89,98.28,81.9,92.31,97.53,95.98,95.62,111.92,100.55,79.02,94.98,92.89,94.18,96.32,113.64,98.06,77.19,92.13,92.4,96.18,97.89,102.94,95.92,77.28,95.33,89.49,87.41,79.4,80.82,67.83,52.24,54.61,46.23,44.59,40.28,41.68,34.77,30.39,30.14,32.23,30.42,32.31,34.17,26.41,26.42,31.82,29.86,30.74,30.64,32.54,28.88,27.22,33.37,31.53,33.35,32.68,30.02,27.19,24.25,27.62,29.39,29.39,29.04,29.4,26.45,27.09,30.97,28.63,29.14,28.1,28.09,28.88,25.01,31.11,33.38,32.48,29.87,34.26,32.9,31.21,33.95,34.06,32.5,34.46,31.84,30.19,28.15,30.18,24.16,33.23,33.37,35.75,34.06,31.7,37.61,35.99,35.1,35.6,36.37,34.93,33.82,36.12,40.56,39.09,37.57,38.7,39.81,30.79,35.76,34.48,34.44,38.36,42.04,45.35,39.96,46.54,47.39,46.01,44.96,50.6,49.54,42.27,48.39,48.56,47.04,46.8,51.88,49.73,43.52,51.5,51.11,51.4,50.31,56.61,52.77,47.37,54.79,53.6,53.76,55.15,54.91,51.89,46.81,50.91,53.0,53.1,55.1,50.77,55.3,47.99,55.63,55.56,55.19,53.22,57.32,56.28,48.32,54.41,54.03,52.95,52.6,56.04,57.65,48.74,55.4,54.43,55.41,55.38,55.52,57.9,49.22,56.23,52.46,60.63,53.06,56.52,56.65,50.24,57.67,57.54,56.24,56.36,63.73,59.36,50.47,60.44,61.9,59.41,61.25,68.28,66.68,53.56,62.21,61.28,59.7,60.07,63.09,60.17,56.69,56.69,59.08,56.95,59.64,68.69,66.5,56.18,55.95,58.4,58.18,56.73,66.16,64.19,51.6,56.99,56.59,58.08,60.75,70.78,71.37,56.0,58.62,58.83,59.56,60.57,68.87,67.01,54.73,58.77,55.08,55.45,58.09,66.0,65.99,52.07,56.59,56.65,57.59,57.76,68.24,68.58,51.59,53.98,56.23,59.79,58.8,61.27,67.76,52.96,57.46,56.3,58.23,59.64,69.11,65.52
44,Rhode Island,sub-region,transit,United States,100.0,110.8,108.88,105.28,106.73,87.15,86.87,104.04,134.89,123.54,121.6,128.36,111.06,86.07,126.88,119.92,118.08,122.2,131.6,110.57,85.11,114.53,115.77,122.27,112.85,116.78,120.49,88.91,110.2,119.71,122.3,125.8,143.69,109.32,103.68,124.4,121.37,125.46,118.91,132.19,120.25,90.83,126.86,119.99,119.35,121.99,142.19,119.09,87.93,116.84,120.8,123.21,129.16,127.04,108.65,89.51,125.87,118.62,107.8,100.41,87.28,82.39,63.95,67.08,53.04,51.54,43.49,46.65,37.63,32.22,37.58,37.66,31.62,37.58,47.32,32.19,27.01,30.2,31.7,30.87,30.12,27.2,28.9,26.73,28.8,30.46,27.43,28.21,32.4,27.4,23.78,25.59,31.83,29.01,30.23,34.55,26.57,29.81,28.96,29.79,30.02,31.68,28.96,36.0,27.07,24.92,32.61,34.06,31.21,35.28,34.37,35.33,39.63,39.39,34.84,37.3,37.61,33.88,31.55,30.23,30.04,36.88,37.01,40.9,40.59,37.32,39.83,42.27,43.49,42.92,51.23,39.39,41.98,41.83,51.77,51.96,48.46,47.24,50.25,47.01,51.13,48.07,50.01,52.86,58.9,55.71,50.87,58.48,57.32,61.33,56.95,68.87,63.48,59.83,63.43,65.42,67.08,69.33,78.89,72.29,59.52,67.57,72.73,71.82,71.2,81.27,63.07,60.81,75.16,71.15,77.34,84.95,77.88,73.12,64.34,81.38,71.72,78.27,83.11,77.8,79.28,71.98,75.78,73.63,75.45,78.4,76.77,81.4,70.32,78.89,81.14,75.86,78.09,79.8,78.58,71.41,81.12,75.37,77.75,79.41,78.35,80.34,64.52,83.84,68.4,79.8,76.95,78.37,70.4,66.49,82.54,75.06,75.81,79.95,76.53,68.61,55.92,79.18,74.33,72.6,81.95,81.38,76.09,72.08,74.13,80.81,73.06,65.09,86.64,67.96,77.21,74.49,76.41,75.99,84.2,99.53,83.5,82.83,77.08,89.36,79.0,82.6,88.84,87.72,69.83,82.54,81.59,87.15,90.47,91.09,82.39,66.25,74.33,81.38,75.68,74.98,92.18,82.49,65.76,73.87,71.3,70.24,76.79,84.59,75.11,66.05,67.16,71.33,70.03,73.76,83.16,74.77,65.32,56.88,76.59,80.32,84.85,77.47,71.28,61.59,68.84,69.62,74.18,79.95,85.68,74.26
45,South Carolina,sub-region,transit,United States,100.0,103.23,105.33,110.98,125.23,117.18,99.73,110.94,103.16,100.37,101.81,114.37,116.59,94.1,102.1,102.52,99.86,105.81,120.66,119.81,92.56,101.76,104.85,109.61,111.12,120.5,114.66,101.62,101.94,107.92,112.93,119.88,137.59,143.56,111.12,118.92,108.97,112.65,108.83,126.7,134.75,103.16,107.98,107.55,111.67,115.56,143.65,142.39,115.08,109.4,110.27,110.18,115.05,141.39,144.68,115.76,117.09,121.57,118.65,115.49,131.91,127.96,98.06,95.01,89.22,85.29,92.68,97.21,87.28,63.53,65.18,68.11,72.64,67.58,77.83,78.95,64.58,70.24,63.44,62.59,62.91,72.66,66.85,60.44,74.17,66.03,68.77,68.47,67.83,62.85,47.4,68.04,69.55,70.3,69.11,76.85,78.4,58.82,69.76,74.42,74.79,65.2,83.6,77.65,68.5,77.56,78.79,79.25,77.4,89.18,93.57,79.64,93.27,89.64,86.2,91.67,94.67,93.25,81.95,84.51,63.19,89.8,97.94,106.02,121.3,106.02,104.99,96.64,95.24,98.74,124.04,137.47,115.47,112.08,110.23,107.37,111.05,119.88,119.22,105.79,113.41,106.45,116.61,122.05,138.62,145.0,127.98,128.76,123.4,125.67,128.94,141.78,152.16,119.29,116.54,117.75,115.01,129.22,139.19,149.49,126.52,128.71,123.47,129.97,131.41,148.16,160.74,121.57,127.52,121.71,129.51,136.6,145.3,135.96,124.62,126.68,112.03,114.34,129.44,141.75,148.82,116.95,125.14,125.55,121.46,122.92,135.99,147.61,115.1,123.2,122.19,117.18,122.97,133.36,145.57,123.02,119.35,121.62,123.11,122.08,135.67,142.14,109.65,106.47,114.37,119.4,119.24,135.76,140.81,117.27,115.79,115.83,116.54,118.42,137.91,137.73,120.04,118.05,111.69,112.22,121.69,132.01,130.47,107.21,109.24,105.35,110.71,112.35,131.02,121.55,104.07,107.32,103.27,105.7,114.53,139.97,140.49,123.5,114.28,100.09,99.79,108.63,128.0,126.45,101.4,105.86,103.34,114.32,122.08,145.37,146.33,115.92,122.81,120.89,120.22,125.28,139.67,136.15,108.01,110.62,107.73,110.02,113.66,130.66,131.91,106.36,109.56,112.13,107.6,116.24,124.62,125.28,104.39,109.86,105.26,105.17,110.8,128.25,123.79,102.31,106.18,105.17,105.63,108.28,126.22,128.19
